title,id,description,link,image_link,price,condition,availability,gtin,brand,size,product_type,google_product_category,unit_pricing_base_measure,unit_pricing_measure,is_bundle
La Biosthétique Fresh Skin 2/1 Medium Rose,021015,"Moisturisers condition the skin, and balancing pigments reduce colour unevenness – for a naturally balanced complexion in one simple application!",https://www.labiosthetique.co.uk/fresh-skin?childSku=4040218845693,https://img.labiosthetique.de/live-ecs/resize-cover/500/0/f/r/fresh_skin_2_1_medium_rose_247813_30ml_b1e7d35.jpg/fresh_skin_2_1_medium_rose_247813_30ml_b1e7d35.jpg,"27,75 GBP",new,in stock,4040218845693,La Biosthétique,30 ml,Make-up,Health & Beauty > Personal Care > Cosmetics > Makeup,,30 ml,FALSE
La Biosthétique Magic Shadow 51 Pale Mauve,016518,The powder eyeshadow contains powdery colour pigments to magically give the eyelids enchanting accents.,https://www.labiosthetique.co.uk/magic-shadow?childSku=4040218866193,https://img.labiosthetique.de/live-ecs/resize-cover/500/0/m/a/magic_shadow_51_pale_mauve_354967_2_5g_26ea289.jpg/magic_shadow_51_pale_mauve_354967_2_5g_26ea289.jpg,"28,10 GBP",new,in stock,4040218866193,La Biosthétique,"2,5 g",Make-up,Health & Beauty > Personal Care > Cosmetics > Makeup,,"2,5 g",FALSE
La Biosthétique Eyeshadow Pen Blooming Grace,016312,Can be used as an eyeshadow or an liner: Eyeshadow Pen with a soft and creamy texture that is easy to apply and blend,https://www.labiosthetique.co.uk/eyeshadow-pen?childSku=4040218860191,https://img.labiosthetique.de/live-ecs/resize-cover/500/0/e/y/eyeshadow_pen_blooming_grace_322643_1_4g_48ca459.jpg/eyeshadow_pen_blooming_grace_322643_1_4g_48ca459.jpg,"25,50 GBP",new,in stock,4040218860191,La Biosthétique,"1,4 g",Make-up,Health & Beauty > Personal Care > Cosmetics > Makeup,,"1,4 g",FALSE
La Biosthétique Perfect Volume Brown,017575,"The volumising mascara provides ultimate volume, seductive shine and flexible hold – for that instant wow effect.",https://www.labiosthetique.co.uk/perfect-volume?childSku=4040218865691,https://img.labiosthetique.de/live-ecs/resize-cover/500/0/p/e/perfect_volume_brown_247621_8ml_48b40e4.jpg/perfect_volume_brown_247621_8ml_48b40e4.jpg,"28,50 GBP",new,in stock,4040218865691,La Biosthétique,8 ml,Make-up,Health & Beauty > Personal Care > Cosmetics > Makeup,,8 ml,FALSE
La Biosthétique Magic Shadow 54 Satin Mango,016594,The powder eyeshadow contains powdery colour pigments to magically give the eyelids enchanting accents.,https://www.labiosthetique.co.uk/magic-shadow?childSku=4040218870091,https://img.labiosthetique.de/live-ecs/resize-cover/500/0/m/a/magic_shadow_54_satin_mango_378589_2_5g_c94a2fa.jpg/magic_shadow_54_satin_mango_378589_2_5g_c94a2fa.jpg,"28,10 GBP",new,in stock,4040218870091,La Biosthétique,"2,5 g",Make-up,Health & Beauty > Personal Care > Cosmetics > Makeup,,"2,5 g",FALSE
La Biosthétique Brilliant Nail Merlot,020425,Brilliant Nail nail polish gives finger and toe nails a cheeky look with high shine and is also long-lasting,https://www.labiosthetique.co.uk/brilliant-nail?childSku=4040218866490,https://img.labiosthetique.de/live-ecs/resize-cover/500/0/b/r/brilliant_nail_merlot_355013_8ml_f687a9f.jpg/brilliant_nail_merlot_355013_8ml_f687a9f.jpg,"18,50 GBP",new,in stock,4040218866490,La Biosthétique,8 ml,Make-up,Health & Beauty > Personal Care > Cosmetics > Makeup,,8 ml,FALSE
La Biosthétique Fresh Skin 4/5 Deep Brown,021052,"Moisturisers condition the skin, and balancing pigments reduce colour unevenness – for a naturally balanced complexion in one simple application!",https://www.labiosthetique.co.uk/fresh-skin?childSku=4040218856989,https://img.labiosthetique.de/live-ecs/resize-cover/500/0/f/r/fresh_skin_4_5_deep_brown_260673_30ml_2a72c65.jpg/fresh_skin_4_5_deep_brown_260673_30ml_2a72c65.jpg,"27,75 GBP",new,in stock,4040218856989,La Biosthétique,30 ml,Make-up,Health & Beauty > Personal Care > Cosmetics > Makeup,,30 ml,FALSE
La Biosthétique Eyeshadow Pen Camel,016361,Can be used as an eyeshadow or an liner: Eyeshadow Pen with a soft and creamy texture that is easy to apply and blend,https://www.labiosthetique.co.uk/eyeshadow-pen?childSku=4040218847086,https://img.labiosthetique.de/live-ecs/resize-cover/500/0/e/y/eyeshadow_pen_camel_280259_1_4g_f3cf141.jpg/eyeshadow_pen_camel_280259_1_4g_f3cf141.jpg,"25,50 GBP",new,in stock,4040218847086,La Biosthétique,"1,4 g",Make-up,Health & Beauty > Personal Care > Cosmetics > Makeup,,"1,4 g",FALSE
La Biosthétique Pencil for Eyes Forest Silk,017502,"The wonderfully soft eye pencil features a uniquely silky texture for high-precision application and naturally wide awake, beautifully radiant eyes",https://www.labiosthetique.co.uk/pencil-for-eyes?childSku=4040218855586,https://img.labiosthetique.de/live-ecs/resize-cover/500/0/p/e/pencil_for_eyes_forest_silk_259679_1_06g_12ea3f8.jpg/pencil_for_eyes_forest_silk_259679_1_06g_12ea3f8.jpg,"24,25 GBP",new,in stock,4040218855586,La Biosthétique,"1,06 g",Make-up,Health & Beauty > Personal Care > Cosmetics > Makeup,,"1,06 g",FALSE
La Biosthétique Eyeshadow Pen Rosebud,016332,Can be used as an eyeshadow or an liner: Eyeshadow Pen with a soft and creamy texture that is easy to apply and blend,https://www.labiosthetique.co.uk/eyeshadow-pen?childSku=4040218869286,https://img.labiosthetique.de/live-ecs/resize-cover/500/0/e/y/eyeshadow_pen_rosebud_378571_1_4g_24c8fb7.jpg/eyeshadow_pen_rosebud_378571_1_4g_24c8fb7.jpg,"25,50 GBP",new,in stock,4040218869286,La Biosthétique,"1,4 g",Make-up,Health & Beauty > Personal Care > Cosmetics > Makeup,,"1,4 g",FALSE
La Biosthétique Natural Skin 3/3 Medium Gold,021714,"With medium coverage, moisturising and conditioning components, the delicate foundation creates a silky smooth, naturally even complexion.",https://www.labiosthetique.co.uk/natural-skin?childSku=4040218841985,https://img.labiosthetique.de/live-ecs/resize-cover/500/0/n/a/natural_skin_3_3_medium_gold_390396_30ml_cfc3772.jpg/natural_skin_3_3_medium_gold_390396_30ml_cfc3772.jpg,"48,25 GBP",new,in stock,4040218841985,La Biosthétique,30 ml,Make-up,Health & Beauty > Personal Care > Cosmetics > Makeup,,30 ml,FALSE
La Biosthétique Perfect Volume Purple,017612,"The volumising mascara provides ultimate volume, seductive shine and flexible hold – for that instant wow effect.",https://www.labiosthetique.co.uk/perfect-volume?childSku=4040218847185,https://img.labiosthetique.de/live-ecs/resize-cover/500/0/p/e/perfect_volume_purple_280265_8ml_913809b.jpg/perfect_volume_purple_280265_8ml_913809b.jpg,"28,50 GBP",new,in stock,4040218847185,La Biosthétique,8 ml,Make-up,Health & Beauty > Personal Care > Cosmetics > Makeup,,8 ml,FALSE
La Biosthétique Eye Performer White Sand,017803,The waterproof eyeliner Eye Performer features an ultra-soft texture with unbeatable colour intensity for spectacular performance and radiant eyes – for lasting beauty.,https://www.labiosthetique.co.uk/eye-performer?childSku=4040218866285,https://img.labiosthetique.de/live-ecs/resize-cover/500/0/e/y/eye_performer_white_sand_354979_1_2g_86d1941.jpg/eye_performer_white_sand_354979_1_2g_86d1941.jpg,"24,25 GBP",new,in stock,4040218866285,La Biosthétique,"1,2 g",Make-up,Health & Beauty > Personal Care > Cosmetics > Makeup,,"1,2 g",FALSE
La Biosthétique Liquid Lipstick Sweet Raspberry,019027,The velvety soft texture of Liquid Lipstick features impressively vibrant colour and a silky matte finish.,https://www.labiosthetique.co.uk/liquid-lipstick?childSku=4040218835984,https://img.labiosthetique.de/live-ecs/resize-cover/500/0/l/i/liquid_lipstick_sweet_raspberry_247669_3ml_04e6f7e.jpg/liquid_lipstick_sweet_raspberry_247669_3ml_04e6f7e.jpg,"29,25 GBP",new,in stock,4040218835984,La Biosthétique,3 ml,Make-up,Health & Beauty > Personal Care > Cosmetics > Makeup,,3 ml,FALSE
