title,locale,image_url,url,path,labio_identnummer,description,price,Grundpreis,Füllmenge,category,Anwendung,Inhaltsstoffe,Siliconfree,Vegan
Automatic Pencil for Lips LL21 Natural Beige,en,https://image.labiosthetique.com/i/square-1440/m2-product:automatic_pencil_for_lips_ll21_natural_beige_324085_0_28g_601ba72.jpg/feed-media.jpg,https://www.labiosthetique.de/automatic-pencil-for-lips?childSku=4040218896756,/automatic-pencil-for-lips?childSku=4040218896756,019002,The waterproof lip liner creates wonderfully defined lips.,"24,50 €",,"0,28 g",Make-Up,Twist the liner out of the automatic case and gently outline or shade the lip line. Caution: you cannot twist the liner back into the case!,"C9-12 ALKANE, MICA, BIS-BEHENYL/ISOSTEARYL/PHYTOSTERYL DIMER DILINOLEYL DIMER DILINOLEATE, CI 77891 (TITANIUM DIOXIDE), SUCROSE TETRASTEARATE TRIACETATE, CI 77491 (IRON OXIDES), HYDROGENATED CASTOR OIL, SYNTHETIC WAX, COPERNICIA CERIFERA CERA (CARNAUBA WAX), POLYGLYCERYL-4 DIISOSTEARATE/POLYHYDROXYSTEARATE/SEBACATE, CI 77499 (IRON OXIDES), CI 77492 (IRON OXIDES), DISTEARDIMONIUM HECTORITE, TOCOPHEROL, PROPYLENE CARBONATE",yes,yes
Belesthétique The Concentrate,en,https://image.labiosthetique.com/i/square-1440/m2-product:belesth_tique_the_concentrate_247897_30ml_868e56b.jpg/feed-media.jpg,https://www.labiosthetique.de/belesthetique-the-concentrate,/belesthetique-the-concentrate,002196,"With effect complexes of exclusive plant extracts, The Eye Cream relaxes, lifts and defines the sensitive skin around the eyes and lips and naturally restores its youthful radiance.","140,50 €","4.683,33 € / 1 l",30 ml,Hautpflege,Apply the Eye Cream to the sensitive eye contours and lipline every morning and evening after cleansing the face.,"AQUA (WATER), GLYCERIN, CAPRYLIC/CAPRIC TRIGLYCERIDE, ETHYLHEXYL STEARATE, SQUALANE, HYDROGENATED COCO-GLYCERIDES, SACCHARIDE ISOMERATE, BUTYROSPERMUM PARKII (SHEA) BUTTER, GLYCERYL STEARATE CITRATE, PENTAERYTHRITYL DISTEARATE, GLYCERYL CITRATE/LACTATE/LINOLEATE/OLEATE, LAUROYL LYSINE, BUTYLENE GLYCOL, PHENOXYETHANOL, ACRYLATES/C10-30 ALKYL ACRYLATE CROSSPOLYMER, SODIUM STEAROYL GLUTAMATE, TROMETHAMINE, PARFUM (FRAGRANCE), TUBER MAGNATUM EXTRACT, BEHENYL ALCOHOL, GLYCERYL STEARATE, DECYL GLUCOSIDE, TETRAMETHYL ACETYLOCTAHYDRONAPHTHALENES, HYDROXYACETOPHENONE, GLUTAMINE, PALMITIC ACID, STEARIC ACID, BENZOIC ACID, CAPRYLYL GLYCOL, FRUCTAN, CITRIC ACID, GYNOSTEMMA PENTAPHYLLUM LEAF/STEM EXTRACT, OLEA EUROPAEA (OLIVE) LEAF EXTRACT, LECITHIN, DEHYDROACETIC ACID, CERAMIDE NG, IRIS FLORENTINA ROOT EXTRACT, SODIUM CITRATE, CITRUS AURANTIUM BERGAMIA (BERGAMOT) PEEL OIL, ALPHA-ISOMETHYL IONONE, CETYL ALCOHOL, LAURYL ALCOHOL, MYRISTYL ALCOHOL, PHENETHYL ALCOHOL, ASCORBYL PALMITATE, LIMONENE, CISTUS INCANUS FLOWER/LEAF/STEM EXTRACT, LINALOOL, TOCOPHEROL, LINALYL ACETATE, ZIZYPHUS JUJUBA FRUIT EXTRACT, GERANIOL, TERPINEOL, HYDROGENATED PALM GLYCERIDES CITRATE, PINENE, ASCORBIC ACID, POTASSIUM SORBATE, SODIUM BENZOATE",yes,yes
Beautifier,en,https://image.labiosthetique.com/i/square-1440/m2-product:beautifier_355019_15ml_87ee35d.jpg/feed-media.jpg,https://www.labiosthetique.de/beautifier,/beautifier,021211,Radiant rose gold shades for selected areas of the face and body.,"36,50 €",,15 ml,Make-Up,"Use a brush or your fingertips to apply the cream gel to selected areas of the face or body, for example the cheeks, the eyelids, the bridge of the nose and the cupid’s bow. Can be used on its own or on top of make-up. Also suitable for selected areas of the body, for example the shoulders or décolleté.","AQUA (WATER), SHEA BUTTER ETHYL ESTERS, HYDROGENATED COCONUT OIL, SORBITAN STEARATE, GLYCERIN, SYNTHETIC FLUORPHLOGOPITE, PROPANEDIOL, TAPIOCA STARCH, CI 77891 (TITANIUM DIOXIDE), MICA, POTASSIUM CETYL PHOSPHATE, CI 77491 (IRON OXIDES), ETHYLHEXYLGLYCERIN, HYDROXYACETOPHENONE, SILICA, CAPRYLYL GLYCOL, XANTHAN GUM, PRUNUS CERASUS (BITTER CHERRY) FRUIT WATER, CITRIC ACID, TIN OXIDE, HETEROTHECA INULOIDES FLOWER EXTRACT",yes,yes
Automatic Pencil for Lips LL29 Raspberry,en,https://image.labiosthetique.com/i/square-1440/m2-product:automatic_pencil_for_lips_ll29_raspberry_247667_0_28g_a34d8a1.jpg/feed-media.jpg,https://www.labiosthetique.de/automatic-pencil-for-lips?childSku=4040218872255,/automatic-pencil-for-lips?childSku=4040218872255,019031,The waterproof lip liner creates wonderfully defined lips.,"25,00 €",,"0,28 g",Make-Up,Twist the liner out of the automatic case and gently outline or shade the lip line. Caution: you cannot twist the liner back into the case!,"SYNTHETIC WAX, MICA, ISODODECANE, HYDROGENATED POLYCYCLOPENTADIENE, POLYGLYCERYL-10 PENTAISOSTEARATE, HYDROGENATED POLY(C6-14 OLEFIN), HYDROGENATED POLYDECENE, HYDROGENATED POLYISOBUTENE, CI 77891 (TITANIUM DIOXIDE), POLYBUTENE, DISTEARDIMONIUM HECTORITE, CI 77492 (IRON OXIDES), CI 15850 (RED 6 LAKE), CI 77491 (IRON OXIDES), PROPYLENE CARBONATE, POLYETHYLENE, PENTAERYTHRITYL TETRA-DI-T-BUTYL HYDROXYHYDROCINNAMATE, CI 42090 (BLUE 1 LAKE), CI 77499 (IRON OXIDES)",no,no
Perfect Skin 1/2 Light Beige,en,https://image.labiosthetique.com/i/square-1440/m2-product:perfect_skin_1_2_light_beige_391635_30ml_55c36ea.jpg/feed-media.jpg,https://www.labiosthetique.de/perfect-skin?childSku=4040218878455,/perfect-skin?childSku=4040218878455,021503,"With its high pigment density and strong coverage, the melting cream foundation effortlessly balances out skin imperfections and provides long-lasting protection.","40,00 €",,30 ml,Make-Up,"Use Foundation Brush No. 15, a sponge or your fingertips to apply Perfect Skin from the middle of the face outwards and blend well. Start with a thin layer and repeat as necessary to increase the coverage or achieve a stronger concealing effect in certain areas.",,no,no
Texturising Paste,en,https://image.labiosthetique.com/i/square-1440/m2-product:texturising_paste_398169_100ml_d155009.jpg/feed-media.jpg,https://www.labiosthetique.de/texturising-paste,/texturising-paste,110077,"The smooth, texturising paste enables versatile styles, gives medium, flexible hold and a silky matt finish with a vegan, silicone-free formula containing 80% ingredients of natural origin.","26,00 €","260,00 € / 1 l",100 ml,Styling,Work Texturising Paste into dry or slightly damp hair and style as desired.,"AQUA (WATER), VINYL CAPROLACTAM/VP/DIMETHYLAMINOETHYL METHACRYLATE COPOLYMER, CETEARYL ALCOHOL, GLYCERIN, GLYCERYL STEARATE, LAURETH-23, TRIACONTANYL PVP, VP/VA COPOLYMER, OCTYLDODECYL STEARATE, PETROLATUM, QUATERNIUM-70, BENZOIC ACID, POLYQUATERNIUM-55 , PROPYLENE GLYCOL, PARFUM (FRAGRANCE), TROMETHAMINE, PHENOXYETHANOL, CITRUS AURANTIUM PEEL OIL, LIMONENE, CAPRYLYL GLYCOL, HYDROGEN PEROXIDE, COUMARIN, ALCOHOL DENAT.",yes,yes
Comforting Enzyme Peeling Mask,en,https://image.labiosthetique.com/i/square-1440/m2-product:comforting_enzyme_peeling_mask_392004_75ml_27f36c4.jpg/feed-media.jpg,https://www.labiosthetique.de/comforting-enzyme-peeling-mask,/comforting-enzyme-peeling-mask,003647,"As gentle as a mask and as effective as a peeling, Comforting Enzyme Peeling Mask refines the complexion, supplies the skin with moisture and boosts cell renewal. For all lovers of Peeling Enzymatique this will be your new favorite product.","34,50 €","460,00 € / 1 l",75 ml,Hautpflege,"Several times a week, apply the mask to the cleansed skin of the face and neck, leaving out the eye area. One application per week is sufficient for sensitive skin. Leave to take effect for at least 5 and a maximum of 20 minutes, then rinse off with lukewarm water.","AQUA (WATER), GLYCERIN, CETEARYL ALCOHOL, CAPRYLIC/CAPRIC TRIGLYCERIDE, ISOPROPYL PALMITATE, LACTOBACILLUS/PUNICA GRANATUM FRUIT FERMENT EXTRACT, CETEARYL GLUCOSIDE , CETYL PALMITATE, COCO-CAPRYLATE/CAPRATE, HYDROGENATED COCO-GLYCERIDES, MYROTHAMNUS FLABELLIFOLIA LEAF/STEM EXTRACT, HYDROXYACETOPHENONE, SODIUM STEAROYL GLUTAMATE, 1,2-HEXANEDIOL, CAPRYLYL GLYCOL, LEUCONOSTOC/RADISH ROOT FERMENT FILTRATE, TOCOPHEROL",yes,yes
Sensual Lipstick Creamy C153 Savannah,en,https://image.labiosthetique.com/i/square-1440/m2-product:sensual_lipstick_creamy_c153_savannah_410737_3_3g_2962de3.jpg/feed-media.jpg,https://www.labiosthetique.de/sensual-lipstick-creamy?childSku=4040218889253,/sensual-lipstick-creamy?childSku=4040218889253,019219,The cream lipstick contains high-quality conditioning oils for a seductively soft pout.,"26,50 €",,"3,3 g",Make-Up,Simply apply Sensual Lipstick Creamy to the lips for a beautiful effect. Gently outline the lip line with a lip liner to match the colour of the creamy lipstick for a more intense colour effect.,"POLYGLYCERYL-2 TRIISOSTEARATE, CAPRYLIC/CAPRIC TRIGLYCERIDE, HELIANTHUS ANNUUS (SUNFLOWER) SEED WAX, CANDELILLA CERA (EUPHORBIA CERIFERA WAX), CI 77891 (TITANIUM DIOXIDE), CI 77491 (IRON OXIDES), CI 77492 (IRON OXIDES), AROMA (FLAVOR), SILICA, PENTAERYTHRITYL TETRA-DI-T-BUTYL HYDROXYHYDROCINNAMATE, CI 42090 (BLUE 1 LAKE), CI 15850 (RED 7 LAKE), ASCORBYL PALMITATE, HELIANTHUS ANNUUS (SUNFLOWER) SEED OIL, TOCOPHEROL, DICALCIUM PHOSPHATE, DISTEARDIMONIUM HECTORITE, POLYHYDROXYSTEARIC ACID, CI 15850 (RED 6), CI 15985 (YELLOW 6 LAKE), CI 19140 (YELLOW 5 LAKE), CI 45410 (RED 28 LAKE), CI 77499 (IRON OXIDES)",yes,yes
Sun Care Cream Sensitive SPF50+,en,https://image.labiosthetique.com/i/square-1440/m2-product:sun_care_cream_sensitive_spf50_413084_75ml_c918e2a.jpg/feed-media.jpg,https://www.labiosthetique.de/sun-care-cream-sensitive-50?childSku=4040218891553,/sun-care-cream-sensitive-50?childSku=4040218891553,002101,"With a combination of effective, highly dosed UV filters and cell-active natural active ingredients, the waterproof, perfume-free cream protects the skin against sun-induced damage.","22,00 €","293,33 € / 1 l",75 ml,Hautpflege,"Before sun exposure, apply generously to the skin, including areas that are difficult to reach, and allow to absorb. Low application quantities considerably reduce the protective effect.","AQUA (WATER), PROPYLHEPTYL CAPRYLATE, DIETHYLAMINO HYDROXYBENZOYL HEXYL BENZOATE, C12-15 ALKYL BENZOATE, DIISOPROPYL ADIPATE, BIS-ETHYLHEXYLOXYPHENOL METHOXYPHENYL TRIAZINE, METHYLENE BIS-BENZOTRIAZOLYL TETRAMETHYLBUTYLPHENOL (NANO), TRIS-BIPHENYL TRIAZINE (NANO), SORBITOL, ETHYLHEXYL TRIAZONE, TRIMETHYLPENTANEDIOL/ADIPIC ACID/GLYCERIN CROSSPOLYMER, CERA ALBA (BEESWAX), C14-22 ALCOHOLS, SODIUM STEAROYL LACTYLATE, ETHYL FERULATE, ROSMARINUS OFFICINALIS (ROSEMARY) LEAF EXTRACT , SODIUM STEAROYL GLUTAMATE, HELIANTHUS ANNUUS (SUNFLOWER) SEED OIL, DECYL GLUCOSIDE, ACRYLATES/C10-30 ALKYL ACRYLATE CROSSPOLYMER, HYDROXYACETOPHENONE, C12-20 ALKYL GLUCOSIDE, TROMETHAMINE, SODIUM POLYPHOSPHATE, XANTHAN GUM, BUTYLENE GLYCOL, DISODIUM PHOSPHATE, PROPYLENE GLYCOL, TOCOPHEROL, PHENOXYETHANOL, BENZOIC ACID, DEHYDROACETIC ACID",yes,no
Spa Aluminium free Roll-on Deodorant,en,https://image.labiosthetique.com/i/square-1440/m2-product:spa_aluminium_free_roll_on_deodorant_329705_50ml_7e6892d.jpg/feed-media.jpg,https://www.labiosthetique.de/spa-aluminium-free-roll-on-deodorant-1,/spa-aluminium-free-roll-on-deodorant-1,002323,"The aluminium-free roll-on deodorant was exclusively created for La Biosthétique by the master of scent essences, Geza Schön","21,50 €","430,00 € / 1 l",50 ml,Hautpflege,Apply evenly to the underarms. Close properly after use. Please note: Avoid applying to irritated skin.,"AQUA (WATER), ALCOHOL DENAT., TRIETHYL CITRATE, GLYCERIN, PROPYLENE GLYCOL, ZINC RICINOLEATE, ARGININE, ACACIA SENEGAL GUM, DECYL OLEATE, PARFUM (FRAGRANCE), POLYGLYCERYL-3 CAPRYLATE, DICAPRYLYL CARBONATE, XANTHAN GUM, GLYCERYL STEARATE CITRATE, CITRIC ACID, SODIUM CAPROYL/LAUROYL LACTYLATE, TETRAMETHYL ACETYLOCTAHYDRONAPHTHALENES, INULIN, LIMONENE, CITRUS LIMON PEEL OIL, CITRUS AURANTIUM PEEL OIL, ALPHA-GLUCAN OLIGOSACCHARIDE, PINENE, CITRAL, SALVIA OFFICINALIS (SAGE) OIL, LEMONGRASS OIL, LINALOOL, TOCOPHEROL, HELIANTHUS ANNUUS (SUNFLOWER) SEED OIL",no,no
Kopfhautbürste Hydratante,en,https://image.labiosthetique.com/i/square-1440/m2-product:kopfhautb_rste_hydratante_418063_1St_ck_99025f0.jpg/feed-media.jpg,https://www.labiosthetique.de/kopfhautbuerste-hydratante,/kopfhautbuerste-hydratante,030356,"Gentle exfoliation, thorough cleansing and an invigorating massage: The Scalp Brush removes residue, promotes microcirculation and optimises the absorption of scalp and hair care products.","10,50 €",,1 pcs,Haar- & Kopfhautpflege,"When shampooing the hair: Lather up the shampoo and use the brush to gently massage it into the scalp to intensify the cleansing effect and invigorate the scalp. With hair care products: Distribute the mask or conditioner in the lengths and tips, then use the brush to work it into the hair so that every hair is given an even coating of care. For a scalp massage: Use on dry scalps to stimulate microcirculation and relax the scalp.",,no,no
Spa Relaxing Body Lotion,en,https://image.labiosthetique.com/i/square-1440/m2-product:spa_relaxing_body_lotion_329785_50ml_133e544.jpg/feed-media.jpg,https://www.labiosthetique.de/spa-relaxing-body-lotion?childSku=4040218855852,/spa-relaxing-body-lotion?childSku=4040218855852,003672,Relaxing body lotion,"10,50 €","210,00 € / 1 l",50 ml,Hautpflege,"After bathing, showering or an exfoliation treatment, evenly distribute the body milk on the clean, dry body skin with circling motions. Gently massage in or leave to absorb for a few minutes.","AQUA (WATER), ISOPROPYL PALMITATE, CAPRYLIC/CAPRIC TRIGLYCERIDE, HYDROGENATED COCO-GLYCERIDES, SORBITOL, C14-22 ALCOHOLS, PARFUM (FRAGRANCE), ALPHA-GLUCAN OLIGOSACCHARIDE, INULIN, SODIUM GLUCONATE, SODIUM STEAROYL GLUTAMATE, SODIUM LACTATE, LYSOLECITHIN, SCLEROTIUM GUM, C12-20 ALKYL GLUCOSIDE, SILICA, XANTHAN GUM, PULLULAN, PHENOXYETHANOL, BENZOIC ACID, ETHYLHEXYLGLYCERIN, DEHYDROACETIC ACID, TETRAMETHYL ACETYLOCTAHYDRONAPHTHALENES, LIMONENE, METHYLPROPANEDIOL, CITRUS LIMON (LEMON) PEEL OIL, CITRUS AURANTIUM PEEL OIL, CAPRYLHYDROXAMIC ACID, PINENE, COUMARIN, CITRAL, LEMONGRASS OIL, LINALOOL, GERANYL ACETATE",yes,no
Automatic Pencil for Eyes K31 Teal,en,https://image.labiosthetique.com/i/square-1440/m2-product:automatic_pencil_for_eyes_k31_teal_396591_0_35g_3e64cba.jpg/feed-media.jpg,https://www.labiosthetique.de/automatic-pencil-for-eyes?childSku=4040218881752,/automatic-pencil-for-eyes?childSku=4040218881752,017397,"The elegant Automatic Pencil combines highly pigmented colour vibrancy with waterproof staying power. The soft, retractable lead allows users to draw precise lines or shading lasting all day long.","24,50 €",,"0,35 g",Make-Up,"Draw a line from the inner corner of the eye along the lash line to the outer corner of the eye. If needed, use the blending tool at the end of the pencil or a brush to soften the line. The line can be corrected immediately with make-up remover and a cotton bud.","C9-12 ALKANE, MICA, CI 77891 (TITANIUM DIOXIDE), BIS-BEHENYL/ISOSTEARYL/PHYTOSTERYL DIMER DILINOLEYL DIMER DILINOLEATE, SUCROSE TETRASTEARATE TRIACETATE, CALCIUM SODIUM BOROSILICATE, SYNTHETIC WAX, HYDROGENATED CASTOR OIL, CI 77510 (FERRIC FERROCYANIDE), POLYGLYCERYL-4 DIISOSTEARATE/POLYHYDROXYSTEARATE/SEBACATE, COPERNICIA CERIFERA CERA (CARNAUBA WAX), CI 77492 (IRON OXIDES), SILICA, CI 77491 (IRON OXIDES), DISTEARDIMONIUM HECTORITE, CI 77288 (CHROMIUM OXIDE GREEN), TOCOPHEROL, PROPYLENE CARBONATE, TIN OXIDE",yes,yes
glam + colour Icy Crystal .07 .LV  Colouring Shampoo,en,https://image.labiosthetique.com/i/square-1440/m2-product:glam_colour_icy_crystal_.07_.lv_colouring_shampoo_381822_250ml_920afe5.jpg/feed-media.jpg,https://www.labiosthetique.de/glam-colour-icy-crystal-07-lv-colouring-shampoo,/glam-colour-icy-crystal-07-lv-colouring-shampoo,120603,"The colour shampoo with colour protection neutralises light golden reflections and revitalises bleached, coloured and natural blonde hair with a cool crystal shimmer.","29,50 €","118,00 € / 1 l",250 ml,Haar- & Kopfhautpflege,"Distribute the shampoo evenly through damp hair, emulsify and rinse thoroughly. Repeat if necessary.","AQUA (WATER), COCAMIDOPROPYL BETAINE, SODIUM METHYL COCOYL TAURATE, DECYL GLUCOSIDE, SODIUM CHLORIDE, LACTIC ACID, SODIUM BENZOATE, DIMETHYLPABAMIDOPROPYL LAURDIMONIUM TOSYLATE, HYDROXYPROPYL OXIDIZED STARCH PG-TRIMONIUM CHLORIDE, PARFUM (FRAGRANCE), PANTHENOL, BUTYLENE GLYCOL, CITRIC ACID, SODIUM POLYPHOSPHATE, STARCH HYDROXYPROPYLTRIMONIUM CHLORIDE, TETRAMETHYL ACETYLOCTAHYDRONAPHTHALENES, SODIUM LACTATE, HELIANTHUS ANNUUS (SUNFLOWER) SEED EXTRACT, ACID VIOLET 43, UREA, CITRUS AURANTIUM BERGAMIA (BERGAMOT) PEEL OIL, LIMONENE, LINALOOL, GLYCERIN, LEVULINIC ACID, P-ANISIC ACID, PHENOXYETHANOL, BASIC VIOLET 2, ETHYLHEXYLGLYCERIN",no,no
Perfect Volume Cornflower,en,https://image.labiosthetique.com/i/square-1440/m2-product:perfect_volume_cornflower_396600_8ml_f11b50b.jpg/feed-media.jpg,https://www.labiosthetique.de/perfect-volume?childSku=4040218881851,/perfect-volume?childSku=4040218881851,017675,"The volumising mascara provides ultimate volume, seductive shine and flexible hold – for that instant wow effect.","27,00 €",,8 ml,Make-Up,"For best results, first apply Perfect Boost mascara base to the lashes. Then, look down as you apply Perfect Volume mascara in a zig-zag direction from roots to tips.","AQUA (WATER), CI 77007 (ULTRAMARINES), HELIANTHUS ANNUUS (SUNFLOWER) SEED WAX, HYDROGENATED OLIVE OIL STEARYL ESTERS, COPERNICIA CERIFERA CERA (CARNAUBA WAX), LACTOBACILLUS FERMENT, PROPANEDIOL, STEARIC ACID, PALMITIC ACID, OLEA EUROPAEA (OLIVE) OIL UNSAPONIFIABLES, ORYZA SATIVA (RICE) BRAN WAX, PULLULAN, AMINOMETHYL PROPANOL, 1,2-HEXANEDIOL, CAPRYLYL GLYCOL, CI 77891 (TITANIUM DIOXIDE), GALACTOARABINAN, HYDROXYETHYLCELLULOSE, CI 77499 (IRON OXIDES), RHUS SUCCEDANEA FRUIT CERA, SHOREA ROBUSTA RESIN, ROSA CENTIFOLIA FLOWER CERA, ROSA DAMASCENA FLOWER CERA, DISODIUM PHOSPHATE, POLYSORBATE 60, SODIUM PHOSPHATE",yes,yes
Brow Definer B03 Beige Brown,en,https://image.labiosthetique.com/i/square-1440/m2-product:brow_definer_b03_beige_brown_406089_0_09g_7109c30.jpg/feed-media.jpg,https://www.labiosthetique.de/brow-definer?childSku=4040218890051,/brow-definer?childSku=4040218890051,017646,"The stylishly slim Brow Definer effortlessly defines precise, natural-looking eyebrows, fills in individual hairs and shades contours. Its ultra-fine tip delivers on-point results with just one twist. With vegan, natural ingredients and caring vitamins.","24,50 €",,"0,09 g",Make-Up,"Twist out the fine tip and draw short, hair-like lines for natural brow definition. Light pressure is sufficient. Slightly stronger pressure intensifies the line thickness and expression. Blend with the integrated brush and shape the brows – for a perfect result in seconds!","OCTYLDODECANOL, CI 77891 (TITANIUM DIOXIDE), HYDROGENATED VEGETABLE OIL, ORYZA SATIVA (RICE) BRAN WAX, CI 77492 (IRON OXIDES), SYNTHETIC WAX, COPERNICIA CERIFERA CERA (CARNAUBA WAX), CI 77499 (IRON OXIDES), CI 77491 (IRON OXIDES), ETHYLCELLULOSE, MICA, TOCOPHEROL, ASCORBYL PALMITATE",yes,yes
Pencil for Eyes Midnight Silk,en,https://image.labiosthetique.com/i/square-1440/m2-product:pencil_for_eyes_midnight_silk_247605_1_06g_109e3e5.jpg/feed-media.jpg,https://www.labiosthetique.de/pencil-for-eyes?childSku=4040218775150,/pencil-for-eyes?childSku=4040218775150,017573,"The wonderfully soft eye pencil features a uniquely silky texture for high-precision application and naturally wide awake, beautifully radiant eyes","22,00 €",,"1,06 g",Make-Up,Gently apply Pencil for Eyes to the inside edge of your eyes or on the bottom and/or top lashes.,"CI 77499 (IRON OXIDES), HYDROGENATED JOJOBA OIL, MICA, CAPRYLIC/CAPRIC TRIGLYCERIDE, HYDROGENATED VEGETABLE OIL, SIMMONDSIA CHINENSIS (JOJOBA) SEED OIL, BUTYROSPERMUM PARKII (SHEA) BUTTER, CI 77891 (TITANIUM DIOXIDE), CANOLA OIL, SCLEROCARYA BIRREA (MARULA) SEED OIL, CANDELILLA CERA (EUPHORBIA CERIFERA WAX), CI 77491 (IRON OXIDES), GLYCERYL CAPRYLATE, COPERNICIA CERIFERA CERA (CARNAUBA WAX), CI 77510 (FERRIC FERROCYANIDE), TOCOPHEROL, CI 75470 (CARMINE), HELIANTHUS ANNUUS (SUNFLOWER) SEED OIL, ASCORBYL PALMITATE",yes,no
Pencil for Eyes Marble Silk,en,https://image.labiosthetique.com/i/square-1440/m2-product:pencil_for_eyes_marble_silk_247593_1_06g_2079d43.jpg/feed-media.jpg,https://www.labiosthetique.de/pencil-for-eyes?childSku=4040218829150,/pencil-for-eyes?childSku=4040218829150,017099,"The wonderfully soft eye pencil features a uniquely silky texture for high-precision application and naturally wide awake, beautifully radiant eyes","22,00 €",,"1,06 g",Make-Up,Gently apply Pencil for Eyes to the inside edge of your eyes or on the bottom and/or top lashes.,"CI 77891 (TITANIUM DIOXIDE), HYDROGENATED JOJOBA OIL, CAPRYLIC/CAPRIC TRIGLYCERIDE, HYDROGENATED VEGETABLE OIL, SIMMONDSIA CHINENSIS (JOJOBA) SEED OIL, MICA, BUTYROSPERMUM PARKII (SHEA) BUTTER, CANOLA OIL, SCLEROCARYA BIRREA (MARULA) SEED OIL, CANDELILLA CERA (EUPHORBIA CERIFERA WAX), CI 77492 (IRON OXIDES), GLYCERYL CAPRYLATE, COPERNICIA CERIFERA CERA (CARNAUBA WAX), CI 77491 (IRON OXIDES), TOCOPHEROL, HELIANTHUS ANNUUS (SUNFLOWER) SEED OIL, ASCORBYL PALMITATE",yes,yes
Molding Hair Laque,en,https://image.labiosthetique.com/i/square-1440/m2-product:molding_hair_laque_398145_300ml_56456ab.jpg/feed-media.jpg,https://www.labiosthetique.de/molding-hair-laque,/molding-hair-laque,110935,"The styling spray for hairstyles with elastic, medium hold allows a creative finish thanks to its slightly delayed drying time.","25,50 €","85,00 € / 1 l",300 ml,Styling,Spray Molding Hair Laque into dry hair section by section and style as desired.,"ALCOHOL DENAT., BUTANE, PROPANE, OCTYLACRYLAMIDE/ACRYLATES/BUTYLAMINOETHYL METHACRYLATE COPOLYMER, AMINOMETHYL PROPANOL, AQUA (WATER), TRIETHYL CITRATE, PANTHENOL, PARFUM (FRAGRANCE), PHYTANTRIOL, TETRAMETHYL ACETYLOCTAHYDRONAPHTHALENES, LIMONENE, LINALOOL, LINALYL ACETATE, GERANIOL, CITRONELLOL, PINENE, CITRIC ACID, COUMARIN",yes,no
Cream Gloss Candy Pink,en,https://image.labiosthetique.com/i/square-1440/m2-product:cream_gloss_candy_pink_378667_3_5ml_8427db0.jpg/feed-media.jpg,https://www.labiosthetique.de/cream-gloss?childSku=4040218870350,/cream-gloss?childSku=4040218870350,019885,Intense colour brilliance and care in one: This high-gloss Cream Gloss gives you sensuously full and glamorous 50s-style lips in the time it takes you to create that perfect pout,"25,00 €",,"3,5 ml",Make-Up,Apply Cream Gloss to the lips with the help of the applicator. The creamy texture enables a precise and easy application. Tip: For a special 3D effect apply lipliner and lipstick and then just apply the gloss to the middle of the top and bottom lip.,"OLEIC/LINOLEIC/LINOLENIC POLYGLYCERIDES, RICINUS COMMUNIS (CASTOR) SEED OIL, HYDROGENATED VEGETABLE OIL, CI 77891 (TITANIUM DIOXIDE), KAOLIN, CANDELILLA CERA (EUPHORBIA CERIFERA WAX), CERA ALBA (BEESWAX), CI 19140 (YELLOW 5 LAKE), PARFUM (FRAGRANCE), CI 15850 (RED 7), SIMMONDSIA CHINENSIS (JOJOBA) SEED OIL, DICALCIUM PHOSPHATE",yes,no
