id;name;category;text1;text2;text3;text4;text5;text6;text7;text8;text9;text10;link1Text;link1Url;link2Text;link2Url;link3Text;link3Url;image1ImageUrl;image1AltText;image1Link;image2ImageUrl;image2AltText;image2Link;image3ImageUrl;image3AltText;image3Link;image4ImageUrl;image4AltText;image4Link;image5ImageUrl;image5AltText;image5Link;image6ImageUrl;image6AltText;image6Link;additionalData1;additionalData2;additionalData3;additionalData4;additionalData5;additionalData6;additionalData7;additionalData8;additionalData9;additionalData10;additionalData11;additionalData12;additionalData13;additionalData14;additionalData15;additionalData16;additionalData17;additionalData18;additionalData19;additionalData20
016756;Magic Shadow 47 Smooth Cappuccino;make-up;Magic Shadow 47 Smooth Cappuccino;;;;;;;;;;;https://www.labiosthetique.co.uk/magic-shadow?childSku=4040218824094;;;;;https://img.labiosthetique.de/live-ecs/resize-cover/500/0/m/a/magic_shadow_47_smooth_cappuccino_247563_2_5g_52b48c6.jpg/magic_shadow_47_smooth_cappuccino_247563_2_5g_52b48c6.jpg;;https://www.labiosthetique.co.uk/magic-shadow?childSku=4040218824094;;;;;;;;;;;;;;;;Magical powder eyeshadow with long-lasting, velvety texture;;;;;;;;;;;;;;;;;;;
016966;Eyeshadow Pen Macadamia;make-up;Eyeshadow Pen Macadamia;;;;;;;;;;;https://www.labiosthetique.co.uk/eyeshadow-pen?childSku=4040218814293;;;;;https://img.labiosthetique.de/live-ecs/resize-cover/500/0/e/y/eyeshadow_pen_macadamia_247575_1_4g_a242ab1.jpg/eyeshadow_pen_macadamia_247575_1_4g_a242ab1.jpg;;https://www.labiosthetique.co.uk/eyeshadow-pen?childSku=4040218814293;;;;;;;;;;;;;;;;Practical eyeshadow pen: Rapidly and easily creates a perfect, smudge and waterproof eye make-up look;;;;;;;;;;;;;;;;;;;
019462;Sensual Lipstick Brilliant B236 Sparkling Sorbet;make-up;Sensual Lipstick Brilliant B236 Sparkling Sorbet;;;;;;;;;;;https://www.labiosthetique.co.uk/sensual-lipstick-brilliant?childSku=4040218830293;;;;;https://img.labiosthetique.de/live-ecs/resize-cover/500/0/s/e/sensual_lipstick_brilliant_b236_sparkling_sorbet_324229_3_3g_110340c.jpg/sensual_lipstick_brilliant_b236_sparkling_sorbet_324229_3_3g_110340c.jpg;;https://www.labiosthetique.co.uk/sensual-lipstick-brilliant?childSku=4040218830293;;;;;;;;;;;;;;;;Lipstick for irresistible Hollywood lips;;;;;;;;;;;;;;;;;;;
120772;Volume Strengthening Shampoo;hair care;Volume Strengthening Shampoo;;;;;;;;;;;https://www.labiosthetique.co.uk/volume-strengthening-shampoo?childSku=4040218843293;;;;;https://img.labiosthetique.de/live-ecs/resize-cover/500/0/v/o/volume_strengthening_shampoo_247449_250ml_5bc44f8.jpg/volume_strengthening_shampoo_247449_250ml_5bc44f8.jpg;;https://www.labiosthetique.co.uk/volume-strengthening-shampoo?childSku=4040218843293;;;;;;;;;;;;;;;;Strengthening, volumising shampoo;;;;;;;;;;;;;;;;;;;
002795;Dermosthétique Instant Lifting Eye Patch;skin & body care;Dermosthétique Instant Lifting Eye Patch;;;;;;;;;;;https://www.labiosthetique.co.uk/dermosthetique-age-3-instant-lifting-eye-patch;;;;;https://img.labiosthetique.de/live-ecs/resize-cover/500/0/d/e/dermosth_tique_instant_lifting_eye_patch_247961_20St_ck_fcee1f3.jpg/dermosth_tique_instant_lifting_eye_patch_247961_20St_ck_fcee1f3.jpg;;https://www.labiosthetique.co.uk/dermosthetique-age-3-instant-lifting-eye-patch;;;;;;;;;;;;;;;;Hydrogel eye pads with AGE3 complex and an instant lifting effect.;;;;;;;;;;;;;;;;;;;
016518;Magic Shadow 51 Pale Mauve;make-up;Magic Shadow 51 Pale Mauve;;;;;;;;;;;https://www.labiosthetique.co.uk/magic-shadow?childSku=4040218866193;;;;;https://img.labiosthetique.de/live-ecs/resize-cover/500/0/m/a/magic_shadow_51_pale_mauve_354967_2_5g_26ea289.jpg/magic_shadow_51_pale_mauve_354967_2_5g_26ea289.jpg;;https://www.labiosthetique.co.uk/magic-shadow?childSku=4040218866193;;;;;;;;;;;;;;;;Magical powder eyeshadow with long-lasting, velvety texture.;;;;;;;;;;;;;;;;;;;
048796;Styling Brush;hair care,styling;Styling Brush;;;;;;;;;;;https://www.labiosthetique.co.uk/styling-brush;;;;;https://img.labiosthetique.de/live-ecs/resize-cover/500/0/s/t/styling_brush_342827_1St_ck_fbe586e.jpg/styling_brush_342827_1St_ck_fbe586e.jpg;;https://www.labiosthetique.co.uk/styling-brush;;;;;;;;;;;;;;;;The classic styling brush for gentle brushing and a conditioned look: The natural and nylon bristles give the hair wonderful shine and bounce;;;;;;;;;;;;;;;;;;;
003912;Spa Wellness Soap;skin & body care;Spa Wellness Soap;;;;;;;;;;;https://www.labiosthetique.co.uk/spa-wellness-soap?childSku=4040218856392;;;;;https://img.labiosthetique.de/live-ecs/resize-cover/500/0/s/p/spa_wellness_soap_329815_150g_f6c2129.jpg/spa_wellness_soap_329815_150g_f6c2129.jpg;;https://www.labiosthetique.co.uk/spa-wellness-soap?childSku=4040218856392;;;;;;;;;;;;;;;;A gentle wellness soap for cleansing the face and body.;;;;;;;;;;;;;;;;;;;
120045;Long Hair Protective Conditioning Fluid;hair care;Long Hair Protective Conditioning Fluid;;;;;;;;;;;https://www.labiosthetique.co.uk/long-hair-protective-conditioning-fluid-1;;;;;https://img.labiosthetique.de/live-ecs/resize-cover/500/0/l/o/long_hair_protective_conditioning_fluid_386232_125ml_35ec887.jpg/long_hair_protective_conditioning_fluid_386232_125ml_35ec887.jpg;;https://www.labiosthetique.co.uk/long-hair-protective-conditioning-fluid-1;;;;;;;;;;;;;;;;Protective conditioning hair fluid;;;;;;;;;;;;;;;;;;;
017575;Perfect Volume Brown;make-up;Perfect Volume Brown;;;;;;;;;;;https://www.labiosthetique.co.uk/perfect-volume?childSku=4040218865691;;;;;https://img.labiosthetique.de/live-ecs/resize-cover/500/0/p/e/perfect_volume_brown_247621_8ml_48b40e4.jpg/perfect_volume_brown_247621_8ml_48b40e4.jpg;;https://www.labiosthetique.co.uk/perfect-volume?childSku=4040218865691;;;;;;;;;;;;;;;;Ultimate volumising mascara for unmistakably beautiful lashes;;;;;;;;;;;;;;;;;;;
016594;Magic Shadow 54 Satin Mango;make-up;Magic Shadow 54 Satin Mango;;;;;;;;;;;https://www.labiosthetique.co.uk/magic-shadow?childSku=4040218870091;;;;;https://img.labiosthetique.de/live-ecs/resize-cover/500/0/m/a/magic_shadow_54_satin_mango_378589_2_5g_c94a2fa.jpg/magic_shadow_54_satin_mango_378589_2_5g_c94a2fa.jpg;;https://www.labiosthetique.co.uk/magic-shadow?childSku=4040218870091;;;;;;;;;;;;;;;;Magical powder eyeshadow with long-lasting, velvety texture.;;;;;;;;;;;;;;;;;;;
