id,gtin,title,brand,link,price,description,image_link,availability,quantity_to_sell_on_facebook,fb_product_category,google_product_category,currency,custom_label_0,custom_label_1,custom_label_2,custom_label_3,size,gender,condition,shipping,override
019462,4040218830293,Sensual Lipstick Brilliant B236 Sparkling Sorbet,Laboratoire Biosthétique Kosmetik,https://www.labiosthetique.ch/it/sensual-lipstick-brilliant?childSku=4040218830293,30.00 CHF,Ce rouge à lèvres nourrit les lèvres grâce à des huiles précieuses pour une bouche digne des films d'Hollywood.,https://image.labiosthetique.com/i/square-1440/m2-product:sensual_lipstick_brilliant_b236_sparkling_sorbet_324229_3_3g_110340c.jpg/feed-media.jpg,in stock,100,health & beauty > beauty > makeup,Health & Beauty > Personal Care > Cosmetics > Makeup,EUR,Make-up,,,,"3,3 g",unisex,new,CH:::0.00 CHF,CH
120772,4040218843293,Volume Strengthening Shampoo,Laboratoire Biosthétique Kosmetik,https://www.labiosthetique.ch/it/volume-strengthening-shampoo?childSku=4040218843293,29.50 CHF,"Le shampooing doux Strengthening Shampoo nettoie en douceur le cheveu, revitalise les cheveux fins, fortifie et protège les fibres capillaires et apporte à la chevelure visiblement plus d’épaisseur et de volume.",https://image.labiosthetique.com/i/square-1440/m2-product:volume_strengthening_shampoo_247449_250ml_5bc44f8.jpg/feed-media.jpg,in stock,100,health & beauty > beauty > hair care & styling,Health & Beauty > Personal Care > Hair Care,EUR,Soins cheveux & cuir chevelu,Volume,Topseller,,250 ml,unisex,new,CH:::0.00 CHF,CH
002795,4040218846393,Dermosthétique Instant Lifting Eye Patch,Laboratoire Biosthétique Kosmetik,https://www.labiosthetique.ch/it/dermosthetique-age-3-instant-lifting-eye-patch,73.00 CHF,"Grâce à leur système unique à l’hydrogel, ces patchs rafraîchissants hydratent intensément le contour des yeux, l'apaisent immédiatement et le lissent visiblement.",https://image.labiosthetique.com/i/square-1440/m2-product:dermosth_tique_instant_lifting_eye_patch_247961_20St_ck_fcee1f3.jpg/feed-media.jpg,in stock,100,health & beauty > beauty > skin care,Health & Beauty > Personal Care > Cosmetics > Skin Care,EUR,Soins de la peau,Dermosthétique Skin,,,20 pcs,unisex,new,CH:::0.00 CHF,CH
016518,4040218866193,Magic Shadow 51 Pale Mauve,Laboratoire Biosthétique Kosmetik,https://www.labiosthetique.ch/it/magic-shadow?childSku=4040218866193,28.00 CHF,Cette ombre à paupières en poudre pare les paupières de reflets magiques grâce à ses pigments colorés en poudre.,https://image.labiosthetique.com/i/square-1440/m2-product:magic_shadow_51_pale_mauve_354967_2_5g_26ea289.jpg/feed-media.jpg,in stock,100,health & beauty > beauty > makeup,Health & Beauty > Personal Care > Cosmetics > Makeup,EUR,Make-up,,,,"2,5 g",unisex,new,CH:::0.00 CHF,CH
021567,4040218878493,Perfect Skin 2/2 Medium Beige,Laboratoire Biosthétique Kosmetik,https://www.labiosthetique.ch/it/perfect-skin?childSku=4040218878493,44.00 CHF,"Avec sa couvrance parfaite, ce fond de teint fluide offre un teint mat et sans défaut, naturellement soigné.",https://image.labiosthetique.com/i/square-1440/m2-product:perfect_skin_2_2_medium_beige_391647_30ml_c8fcf27.jpg/feed-media.jpg,in stock,100,health & beauty > beauty > makeup,Health & Beauty > Personal Care > Cosmetics > Makeup,EUR,Make-up,,,,30 ml,unisex,new,CH:::0.00 CHF,CH
003912,4040218856392,Spa Wellness Soap,Laboratoire Biosthétique Kosmetik,https://www.labiosthetique.ch/it/spa-wellness-soap?childSku=4040218856392,24.50 CHF,Savon bien-être doux pour le visage et le corps.,https://image.labiosthetique.com/i/square-1440/m2-product:spa_wellness_soap_329815_150g_f6c2129.jpg/feed-media.jpg,in stock,100,health & beauty > beauty > skin care,Health & Beauty > Personal Care > Cosmetics > Skin Care,EUR,Soins de la peau,Ligne corps bien-être Spa,,,150 g,unisex,new,CH:::0.00 CHF,CH
016312,4040218860191,Eyeshadow Pen Blooming Grace,Laboratoire Biosthétique Kosmetik,https://www.labiosthetique.ch/it/eyeshadow-pen?childSku=4040218860191,26.00 CHF,"En ombre à paupières ou eyeliner, la texture délicatement crémeuse d’Eyeshadow Pen s’applique et s'estompe facilement.",https://image.labiosthetique.com/i/square-1440/m2-product:eyeshadow_pen_blooming_grace_322643_1_4g_48ca459.jpg/feed-media.jpg,in stock,100,health & beauty > beauty > makeup,Health & Beauty > Personal Care > Cosmetics > Makeup,EUR,Make-up,,,,"1,4 g",unisex,new,CH:::0.00 CHF,CH
120045,4040218861891,Long Hair Protective Conditioning Fluid,Laboratoire Biosthétique Kosmetik,https://www.labiosthetique.ch/it/long-hair-protective-conditioning-fluid-1,34.00 CHF,"En un tour de main, le fluide nourrissant sans rinçage hydrate les cheveux, équilibre les différences structurelles, empêche les cheveux de devenir cassants, les protège des particules polluantes et d'autres influences environnementales nocives.",https://image.labiosthetique.com/i/square-1440/m2-product:long_hair_protective_conditioning_fluid_386232_125ml_35ec887.jpg/feed-media.jpg,in stock,100,health & beauty > beauty > hair care & styling,Health & Beauty > Personal Care > Hair Care,EUR,Soins cheveux & cuir chevelu,Long Hair,,,125 ml,unisex,new,CH:::0.00 CHF,CH
017575,4040218865691,Perfect Volume Brown,Laboratoire Biosthétique Kosmetik,https://www.labiosthetique.ch/it/perfect-volume?childSku=4040218865691,31.00 CHF,"Le mascara volume offre aux cils un volume ultime, une brillance incroyable et une tenue flexible, avec un effet WOW immédiat.",https://image.labiosthetique.com/i/square-1440/m2-product:perfect_volume_brown_247621_8ml_48b40e4.jpg/feed-media.jpg,in stock,100,health & beauty > beauty > makeup,Health & Beauty > Personal Care > Cosmetics > Makeup,EUR,Make-up,,,,8 ml,unisex,new,CH:::0.00 CHF,CH
016594,4040218870091,Magic Shadow 54 Satin Mango,Laboratoire Biosthétique Kosmetik,https://www.labiosthetique.ch/it/magic-shadow?childSku=4040218870091,28.00 CHF,Cette ombre à paupières en poudre pare les paupières de reflets magiques grâce à ses pigments colorés en poudre.,https://image.labiosthetique.com/i/square-1440/m2-product:magic_shadow_54_satin_mango_378589_2_5g_c94a2fa.jpg/feed-media.jpg,in stock,100,health & beauty > beauty > makeup,Health & Beauty > Personal Care > Cosmetics > Makeup,EUR,Make-up,,,,"2,5 g",unisex,new,CH:::0.00 CHF,CH
